,0
0,0.82943299883
1,0.131575897147
2,0.0193536001544
3,0.00549121962811
4,0.00223257957599
5,0.00210330178291
6,0.00136980606417
7,0.00134578665884
8,0.00121695375321
9,0.00104476526167
10,0.00088989734062
11,0.000729568634347
12,0.000655738407677
13,0.000430121961439
14,0.000402983235427
15,0.000354618135254
16,0.000322198482906
17,0.000282452375776
18,0.000213441150805
19,0.000115943543876
20,9.22486973803e-05
21,8.47299106212e-05
22,6.18943813614e-05
23,3.61361822984e-05
24,3.11540369926e-05
25,3.04363103598e-05
26,2.51382183534e-05
27,2.48212710492e-05
28,2.35561809555e-05
29,1.34280585176e-05
30,1.12960020146e-05
31,7.01769005778e-07
32,5.86857006445e-07
33,1.63576816569e-31
34,6.3427456833e-33
