,学生ID,生源省市,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,裸眼视力(左),裸眼视力(右),身高,体重,考生类型,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类,大类.普通,大类.自招,大类.国防定向等,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩
85,d0ea71633b479a1528d3,安徽省,0,1,0,1,0,1,1,172,55,城镇应届,1,1,0,0,0,679,0,0,0,0,1,2,自主,0,1,0,0,0,0.002364066,-0.260943423,0,0,0.025641026,0
226,0f75a0a58d362b6149b5,安徽省,1,1,0,1,0,4.3,4.3,158,45,城镇应届,1,1,0,0,0,708,1,0,0,0,0,3,博雅,0,1,0,0,0,0.007537688,-0.261471666,0,0.142857143,0.102564103,0
269,eb89c6c26f3fb8475a5a,安徽省,1,1,0,1,0,5,5,163,50,城镇应届,1,0,1,0,0,676,0,0,0,0,0,1,博雅,0,1,0,0,0,0.001025641,-0.26215997,0,0.028571429,0.179487179,0
556,8e412e6c1fde20a12523,安徽省,0,1,0,1,0,4.2,4.2,168,58,城镇应届,1,0,1,0,0,677,0,1,0,0,0,0,普通,1,0,0,0,0,0.054249548,-0.244245563,0,0.057142857,0.076923077,0
718,22da73a201a8a43d6515,安徽省,0,1,0,1,0,,,178,65,城镇应届,1,1,0,0,0,699,1,0,0,0,0,3,博雅,0,1,0,0,0,0.004761905,-0.26200032,0,0.057142857,0.205128205,0.103448276
856,eed0ad608d243d87c5c3,安徽省,1,1,0,1,0,4.2,4.2,168,60,城镇应届,1,1,0,0,0,695,1,0,0,0,0,1,博雅,0,1,0,0,0,0.04172851,1.18E-15,0,0.057142857,0.153846154,0
10,f101cb94b348c2205ad6,北京市,0,1,0,1,0,,,176,67,城镇应届,1,1,0,0,0,673,0,0,0,1,0,1,博雅,0,1,0,0,0,0.023076923,0.649004236,0,0,0.076923077,0
21,424f122d6bbaf7c74875,北京市,1,0,0,1,0,,,164,54,城镇应届,1,0,1,0,0,676,0,0,1,0,0,0,普通,1,0,0,0,0,0.047008547,-0.159043028,0,0.028571429,0.102564103,0
55,9da36a4e77afa0c9f60f,北京市,0,1,0,1,0,5.1,5.1,176,83,城镇应届,1,1,0,0,0,682,0,0,1,0,0,3,自主,0,1,0,0,0,0.001506024,-0.247121279,0,0.085714286,0,0
64,78b5f15022b9debd33e4,北京市,0,1,0,1,0,,,175,55,城镇应届,1,1,0,0,0,662,0,0,0,0,1,5,自主,0,1,0,0,0,0.231707317,-0.262245872,0,0,0.051282051,0.103448276
89,3e2855149848b6774a19,北京市,1,1,0,1,0,4.3,4.2,173,63,城镇应届,1,0,1,0,0,673,0,0,0,0,0,0,普通,1,0,0,0,0,0.005836576,-0.262045452,0,0.028571429,0.128205128,0
91,a56700354881812b5bdd,北京市,1,1,0,1,0,4.3,4.5,166,50,城镇应届,1,1,0,0,0,702,0,1,0,0,0,0,普通,1,0,0,0,0,0.00241838,-0.254994425,0,0.142857143,0.102564103,0
95,b064d21a1047602daa99,北京市,1,1,0,1,0,4.8,4.8,170,50,城镇应届,1,1,0,0,0,684,0,0,0,1,0,1,博雅,0,1,0,0,0,0.00212766,-0.257672165,0,0.2,0.230769231,0
122,1a4f62530f7ce28493c5,北京市,0,1,0,1,0,0.4,0.5,185,80,城镇应届,1,1,0,0,0,706,1,0,0,0,0,1,博雅,0,1,0,0,0,0.041428571,-0.049084822,0,0.2,0.179487179,0
155,7da5042c4a30c99d69ba,北京市,1,1,0,1,0,4.2,4.8,154,53,城镇应届,1,1,0,0,0,705,1,0,0,0,0,0,普通,1,0,0,0,0,0.333333333,-0.262245872,0,0.2,0.256410256,0
204,7434208c8c1dfd130338,北京市,1,1,0,1,0,4.5,4.2,164,64,城镇应届,1,1,0,0,0,692,0,0,1,0,0,1,博雅,0,1,0,0,0,0.010695187,-0.222659927,0,0.285714286,0.153846154,0
