,学生ID,全国卷,自主命题,半自主命题,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,身高,体重,城镇考生,应届考生,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩（分数/总分）,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类.普通,大类.自招,大类.定向招生,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩,生源省市
0,1351e2a8ee9140935e5e,0,1,0,0,1,0,1,0,165,52,1,1,1,1,0,0,1,0.888,1,0,0,0,0,3,0,1,0,0,0,0.002816901,-0.26211454,0,0.114285714,0.205128205,0,福建省
1,6dfd920349b8a916ac22,1,0,0,0,1,0,1,0,175,80,1,1,1,1,0,0,0,0.933333333,0,1,0,0,0,3,0,1,0,0,0,0.446153846,1.960142393,0,0.257142857,0.307692308,0,黑龙江省
2,2180875a7b5c7dda9718,0,0,1,0,1,0,1,0,180,75,1,1,1,1,0,0,1,0.930666667,0,0,0,0,0,1,0,1,0,0,0,0.016129032,-0.252412571,0,0,0.179487179,0.034482759,湖北省
3,ef1a837655081da642e6,1,0,0,0,1,0,1,0,177,65,1,1,1,0,1,0,1,0.889333333,0,0,1,0,0,3,0,1,0,0,0,0.016556291,-0.203311715,0,0.028571429,0.333333333,0,河北省
4,8890952ff9a4e20993c9,0,1,0,0,1,0,1,0,176,67,0,1,1,1,0,0,0,0.61875,0,0,0,1,0,4,0,0,0,1,0,0.002314815,-0.149474107,0,0.057142857,0.102564103,0,江苏省
5,ed1f9062e86a79c7a2af,1,0,0,1,1,0,1,0,158,51,1,1,1,0,1,0,0,0.876,0,0,0,0,0,3,0,1,0,0,0,0.027097902,-0.252556647,0,0.114285714,0.230769231,0,新疆维吾尔自治区
6,1cf7548cc40b0b79f64e,0,0,1,1,1,0,1,0,162,55,0,1,1,1,0,0,1,0.896,1,0,0,0,0,1,0,0,0,1,0,0.00130719,-0.262217564,0,0,0.025641026,0.103448276,湖南省
7,031bd3bb008fb4f2c112,0,1,0,1,0,0,1,0,175,69,1,1,1,0,1,0,1,0.901333333,0,0,0,0,0,1,0,1,0,0,0,0.04172851,1.18E-15,0,0.228571429,0.282051282,0,北京市
8,fefcaf838ab0e8212dfd,1,0,0,0,1,0,1,0,176,60,0,1,1,1,0,0,1,0.868,1,0,0,0,0,4,0,0,0,1,0,0.004347826,-0.262220235,0,0.028571429,0.076923077,0,河南省
9,9168ab8d7845669a2127,0,1,0,1,1,0,1,0,155,43,0,1,1,0,0,1,0,0.938271235,0,1,0,0,0,5,0,1,0,0,0,0.021666667,-0.118498842,0,0,0,0,浙江省
10,f101cb94b348c2205ad6,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.897333333,0,0,0,1,0,1,0,1,0,0,0,0.023076923,0.649004236,0,0,0.076923077,0,北京市
11,b16b6ed24e53f9fea4dd,0,1,0,0,1,0,1,0,171,55,1,1,1,1,0,0,0,0.914666667,0,0,0,0,1,3,0,1,0,0,0,0.00241838,-0.262049429,0,0.057142857,0.102564103,0,广东省
12,e8ee570ea57f4b778139,1,0,0,0,1,0,1,0,182,76,1,1,1,1,0,0,0,0.874666667,1,0,0,0,0,5,0,1,0,0,0,0.005882353,-0.261875713,0,0.028571429,0.025641026,0.034482759,辽宁省
13,5bb54454cc5efad653b9,0,0,1,0,1,0,1,0,173,70,1,1,1,1,0,0,0,0.866666667,1,0,0,0,0,5,0,1,0,0,0,0.010169492,-0.260759414,0,0,0,0,湖南省
14,9222399166e4c44b283d,1,0,0,0,1,0,1,0,170,55,1,0,1,1,0,0,1,0.917333333,1,0,0,0,0,0,0,0,1,0,0,0.003555556,-0.260519117,0,0.085714286,0,0,河北省
15,7e059d4e198ccf274add,0,1,0,0,1,0,1,0,182,66,1,1,1,1,0,0,1,0.616666667,0,0,0,0,1,4,0,1,0,0,0,0.001158749,-0.260629156,0,0.228571429,0.205128205,0,江苏省
16,6bda9c2b8a031cfe4803,0,0,1,0,1,0,1,0,172,60,1,1,1,0,1,0,0,0.838666667,0,1,0,0,0,2,0,1,0,0,0,0.03,-0.245699208,0,0.028571429,0.076923077,0.034482759,湖北省
17,2d9baf59b9c182420aef,0,1,0,0,1,0,1,0,174,55,1,1,1,1,0,0,0,0.575,0,0,0,0,1,2,0,1,0,0,0,0.001669449,-0.257872233,0,0.114285714,0.128205128,0.068965517,江苏省
18,daea515547958f68fe05,0,0,1,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.901333333,1,0,0,0,0,5,0,1,0,0,0,0.001545595,-0.261485524,0,0,0.076923077,0.068965517,湖北省
19,093ca7c821652c08240e,1,0,0,1,1,0,1,0,161,38,1,1,1,0,1,0,1,0.824,0,0,1,0,0,0,0,0,1,0,0,0.234615385,0.599488683,0,0,0.102564103,0,黑龙江省
20,38a0e9d389400ae2c264,0,1,0,1,1,0,1,0,167,54,0,1,1,1,0,0,1,0.604166667,0,0,0,1,0,3,0,0,0,1,0,0.006034483,-0.261778358,0,0,0.102564103,0,江苏省
21,424f122d6bbaf7c74875,0,1,0,1,0,0,1,0,164,54,1,1,1,0,1,0,0,0.901333333,0,0,1,0,0,0,1,0,0,0,0,0.047008547,-0.159043028,0,0.028571429,0.102564103,0,北京市
22,12e5361247ada675ad0b,0,1,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.897333333,0,1,0,0,0,0,1,0,0,0,0,0.335,0.35716992,0,0.257142857,0.333333333,0,北京市
23,f7526c4b0544a70f581e,1,0,0,0,1,0,1,0,176,60,1,1,1,1,0,0,1,0.881333333,0,0,1,0,0,3,0,0,0,1,0,0.002777778,-0.262245872,0,0,0.102564103,0.137931034,河南省
24,a4aa551a9c98177255e3,0,1,0,0,1,0,1,0,172,55,0,1,1,1,0,0,0,0.887653951,1,0,0,0,0,5,0,1,0,0,0,0.04,0.193057127,0,0.028571429,0,0,浙江省
