,生源省市,学生ID,全国卷,自主命题,半自主命题,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,身高,体重,城镇考生,应届考生,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩（分数/总分）,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类.普通,大类.自招,大类.定向招生,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩,综合GPA
0,宁夏回族自治区,6520905ee393ca7c7dc7,1,0,0,1,1,0,1,0,163,55,0,1,1,0,1,0,1,0.834666667,0,0,0,1,0,1,0,0,0,1,0,0.002816901,-0.26211454,0,0.028571429,0,0,3.57018
1,北京市,c5f7d43ab8328c3108c6,0,1,0,0,1,0,1,0,178,68,1,1,1,1,0,0,1,0.890666667,0,0,0,0,1,4,0,1,0,0,0,0.446153846,1.960142393,0,0.028571429,0.076923077,0,3.47444
2,广西壮族自治区,78a1a12f2ba616373b7b,1,0,0,1,1,0,1,0,164,54,1,1,1,0,1,0,0,0.872,0,1,0,0,0,2,0,1,0,0,0,0.016129032,-0.252412571,0,0.057142857,0.128205128,0,3.63056
3,北京市,67349330bfce350d0444,0,1,0,1,1,0,1,0,171,53,1,1,1,1,0,0,1,0.904,0,0,0,0,0,1,0,1,0,0,0,0.016556291,-0.203311715,0,0.057142857,0.128205128,0,3.81983
4,重庆市,dfcdedc8922db1978f09,0,1,0,1,0,0,1,0,162,54,1,1,1,1,0,0,0,0.922666667,0,0,0,0,1,0,1,0,0,0,0,0.002314815,-0.149474107,0,0,0,0,2.69939
5,广东省,ad20d8cba562fcfce20f,0,1,0,1,1,0,1,0,169,56,1,1,1,0,1,0,1,0.849333333,0,0,1,0,0,0,1,0,0,0,0,0.027097902,-0.252556647,0,0,0.179487179,0,3.58831
6,河南省,1c25e28d985cd02b2921,1,0,0,0,1,0,1,0,182,72,0,0,1,1,0,0,0,0.876,0,0,0,1,0,2,0,0,0,1,0,0.00130719,-0.262217564,0,0.114285714,0.205128205,0.068965517,2.78314
7,天津市,6e1b982b5cd4db22c0c9,0,1,0,1,1,0,1,0,158,43,1,1,1,0,1,0,0,0.873333333,0,0,1,0,0,0,1,0,0,0,0,0.04172851,1.18E-15,0,0.114285714,0.205128205,0,3.49779
8,北京市,2ccbe3017f014d1db453,0,1,0,1,0,0,1,0,155,50,1,1,1,0,1,0,0,0.893333333,0,0,0,1,0,4,0,1,0,0,0,0.004347826,-0.262220235,0,0.028571429,0.256410256,0,3.69031
9,四川省,62a58419a2d4475f0fce,0,1,0,1,1,0,1,0,160,51,1,1,1,1,0,0,0,0.890666667,0,0,0,1,0,0,1,0,0,0,0,0.021666667,-0.118498842,0,0.057142857,0.076923077,0.034482759,3.64577
