,学生ID,全国卷,自主命题,半自主命题,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,身高,体重,城镇考生,应届考生,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类,大类.普通,大类.自招,大类.定向招生,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩,综合GPA
0,6520905ee393ca7c7dc7,1.0,0.0,0.0,1,1,0,1,0,163,55,0.0,1.0,1,0,1,0,1,626.0,0,0,0,1,0,1,筑梦,0,0,0,1,0,0.002816901,-0.26211454,0.0,0.028571429,0.0,0.0,3.57018
1,c5f7d43ab8328c3108c6,0.0,1.0,0.0,0,1,0,1,0,178,68,1.0,1.0,1,1,0,0,1,668.0,0,0,0,0,1,4,自主,0,1,0,0,0,0.446153846,1.960142393,0.0,0.028571429,0.076923077,0.0,3.47444
2,78a1a12f2ba616373b7b,1.0,0.0,0.0,1,1,0,1,0,164,54,1.0,1.0,1,0,1,0,0,654.0,0,1,0,0,0,2,自主,0,1,0,0,0,0.016129032,-0.252412571,0.0,0.057142857,0.128205128,0.0,3.63056
3,67349330bfce350d0444,0.0,1.0,0.0,1,1,0,1,0,171,53,1.0,1.0,1,1,0,0,1,678.0,0,0,0,0,0,1,博雅,0,1,0,0,0,0.016556291,-0.203311715,0.0,0.057142857,0.128205128,0.0,3.81983
4,dfcdedc8922db1978f09,0.0,1.0,0.0,1,0,0,1,0,162,54,1.0,1.0,1,1,0,0,0,692.0,0,0,0,0,1,0,普通,1,0,0,0,0,0.002314815,-0.149474107,0.0,0.0,0.0,0.0,2.69939
5,ad20d8cba562fcfce20f,0.0,1.0,0.0,1,1,0,1,0,169,56,1.0,1.0,1,0,1,0,1,637.0,0,0,1,0,0,0,普通,1,0,0,0,0,0.027097902,-0.252556647,0.0,0.0,0.179487179,0.0,3.58831
6,1c25e28d985cd02b2921,1.0,0.0,0.0,0,1,0,1,0,182,72,0.0,0.0,1,1,0,0,0,657.0,0,0,0,1,0,2,筑梦,0,0,0,1,0,0.00130719,-0.262217564,0.0,0.114285714,0.205128205,0.068965517,2.78314
7,6e1b982b5cd4db22c0c9,0.0,1.0,0.0,1,1,0,1,0,158,43,1.0,1.0,1,0,1,0,0,655.0,0,0,1,0,0,0,普通,1,0,0,0,0,0.04172851,1.18e-15,0.0,0.114285714,0.205128205,0.0,3.49779
8,2ccbe3017f014d1db453,0.0,1.0,0.0,1,0,0,1,0,155,50,1.0,1.0,1,0,1,0,0,670.0,0,0,0,1,0,4,博雅,0,1,0,0,0,0.004347826,-0.262220235,0.0,0.028571429,0.256410256,0.0,3.69031
9,62a58419a2d4475f0fce,0.0,1.0,0.0,1,1,0,1,0,160,51,1.0,1.0,1,1,0,0,0,668.0,0,0,0,1,0,0,普通,1,0,0,0,0,0.021666667,-0.118498842,0.0,0.057142857,0.076923077,0.034482759,3.64577
10,828f06a02e2b844fe7f6,0.0,1.0,0.0,0,1,0,1,0,185,82,1.0,1.0,1,1,0,0,1,683.0,0,0,0,0,0,1,博雅,0,1,0,0,0,0.023076923,0.649004236,0.0,0.0,0.102564103,0.0,3.48831
11,3f70dbc335bdc0d24273,0.0,0.0,1.0,0,1,0,1,0,188,73,1.0,1.0,1,1,0,0,1,680.0,1,0,0,0,0,2,博雅,0,1,0,0,0,0.00241838,-0.262049429,0.0,0.142857143,0.076923077,0.0,3.57785
12,cdcb9302af4c1e78ac10,0.0,1.0,0.0,1,1,0,1,0,169,56,1.0,1.0,1,1,0,0,0,675.0,1,0,0,0,0,3,博雅,0,1,0,0,0,0.005882353,-0.261875713,0.0,0.028571429,0.128205128,0.0,3.00231
13,805d0a2dda6558aed6b3,0.0,1.0,0.0,0,1,0,1,0,177,70,1.0,1.0,1,1,0,0,1,684.0,0,1,0,0,0,3,博雅,0,1,0,0,0,0.010169492,-0.260759414,0.0,0.457142857,0.487179487,0.103448276,3.92898
14,79274ff76cdf19c1027c,0.0,1.0,0.0,0,1,0,1,0,171,70,1.0,1.0,1,1,0,0,0,284.0,1,0,0,0,0,1,博雅,0,1,0,0,0,0.003555556,-0.260519117,0.0,0.114285714,0.102564103,0.068965517,3.77806
15,a8a1ed8d39bff1593ce3,0.0,0.0,1.0,1,1,0,1,0,163,50,1.0,1.0,1,1,0,0,1,694.0,1,0,0,0,0,5,自主,0,1,0,0,0,0.001158749,-0.260629156,0.0,0.0,0.128205128,0.0,3.88062
16,c615641338e2dda75cfd,1.0,0.0,0.0,1,1,0,1,0,164,55,1.0,1.0,1,0,1,0,0,683.0,0,0,0,0,0,1,博雅,0,1,0,0,0,0.03,-0.245699208,0.0,0.028571429,0.025641026,0.0,3.48804
