,全国卷,自主命题,半自主命题,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,身高,体重,城镇考生,应届考生,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩（分数/总分）,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类.普通,大类.自招,大类.定向招生,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩,综合GPA
0,1,0,0,1,1,0,1,0,163,55,0,1,1,0,1,0,1,0.834666667,0,0,0,1,0,1,0,0,0,1,0,0.002816901,-0.26211454,0.0,0.028571429,0.0,0.0,3.57018
1,0,1,0,0,1,0,1,0,178,68,1,1,1,1,0,0,1,0.890666667,0,0,0,0,1,4,0,1,0,0,0,0.446153846,1.960142393,0.0,0.028571429,0.076923077,0.0,3.47444
2,1,0,0,1,1,0,1,0,164,54,1,1,1,0,1,0,0,0.872,0,1,0,0,0,2,0,1,0,0,0,0.016129032,-0.252412571,0.0,0.057142857,0.128205128,0.0,3.63056
3,0,1,0,1,1,0,1,0,171,53,1,1,1,1,0,0,1,0.904,0,0,0,0,0,1,0,1,0,0,0,0.016556291,-0.203311715,0.0,0.057142857,0.128205128,0.0,3.81983
4,0,1,0,1,0,0,1,0,162,54,1,1,1,1,0,0,0,0.922666667,0,0,0,0,1,0,1,0,0,0,0,0.002314815,-0.149474107,0.0,0.0,0.0,0.0,2.69939
5,0,1,0,1,1,0,1,0,169,56,1,1,1,0,1,0,1,0.849333333,0,0,1,0,0,0,1,0,0,0,0,0.027097902,-0.252556647,0.0,0.0,0.179487179,0.0,3.58831
6,1,0,0,0,1,0,1,0,182,72,0,0,1,1,0,0,0,0.876,0,0,0,1,0,2,0,0,0,1,0,0.00130719,-0.262217564,0.0,0.114285714,0.205128205,0.068965517,2.78314
7,0,1,0,1,1,0,1,0,158,43,1,1,1,0,1,0,0,0.873333333,0,0,1,0,0,0,1,0,0,0,0,0.04172851,1.18e-15,0.0,0.114285714,0.205128205,0.0,3.49779
8,0,1,0,1,0,0,1,0,155,50,1,1,1,0,1,0,0,0.893333333,0,0,0,1,0,4,0,1,0,0,0,0.004347826,-0.262220235,0.0,0.028571429,0.256410256,0.0,3.69031
9,0,1,0,1,1,0,1,0,160,51,1,1,1,1,0,0,0,0.890666667,0,0,0,1,0,0,1,0,0,0,0,0.021666667,-0.118498842,0.0,0.057142857,0.076923077,0.034482759,3.64577
10,0,1,0,0,1,0,1,0,185,82,1,1,1,1,0,0,1,0.910666667,0,0,0,0,0,1,0,1,0,0,0,0.023076923,0.649004236,0.0,0.0,0.102564103,0.0,3.48831
11,0,0,1,0,1,0,1,0,188,73,1,1,1,1,0,0,1,0.906666667,1,0,0,0,0,2,0,1,0,0,0,0.00241838,-0.262049429,0.0,0.142857143,0.076923077,0.0,3.57785
12,0,1,0,1,1,0,1,0,169,56,1,1,1,1,0,0,0,0.9,1,0,0,0,0,3,0,1,0,0,0,0.005882353,-0.261875713,0.0,0.028571429,0.128205128,0.0,3.00231
13,0,1,0,0,1,0,1,0,177,70,1,1,1,1,0,0,1,0.912,0,1,0,0,0,3,0,1,0,0,0,0.010169492,-0.260759414,0.0,0.457142857,0.487179487,0.103448276,3.92898
14,0,1,0,0,1,0,1,0,171,70,1,1,1,1,0,0,0,0.591666667,1,0,0,0,0,1,0,1,0,0,0,0.003555556,-0.260519117,0.0,0.114285714,0.102564103,0.068965517,3.77806
15,0,0,1,1,1,0,1,0,163,50,1,1,1,1,0,0,1,0.925333333,1,0,0,0,0,5,0,1,0,0,0,0.001158749,-0.260629156,0.0,0.0,0.128205128,0.0,3.88062
16,1,0,0,1,1,0,1,0,164,55,1,1,1,0,1,0,0,0.910666667,0,0,0,0,0,1,0,1,0,0,0,0.03,-0.245699208,0.0,0.028571429,0.025641026,0.0,3.48804
17,1,0,0,0,1,0,1,0,175,65,1,1,1,1,0,0,1,0.869333333,1,0,0,0,0,5,0,1,0,0,0,0.001669449,-0.257872233,0.0,0.028571429,0.128205128,0.0,3.38481
18,0,1,0,1,1,0,1,0,163,50,1,1,1,0,1,0,0,0.918666667,0,1,0,0,0,0,1,0,0,0,0,0.001545595,-0.261485524,0.0,0.028571429,0.025641026,0.0,3.66787
19,1,0,0,0,1,0,1,0,180,60,1,1,1,1,0,0,1,0.92,1,0,0,0,0,0,1,0,0,0,0,0.234615385,0.599488683,0.0,0.0,0.230769231,0.0,3.45536
20,1,0,0,0,1,0,1,0,172,70,1,1,1,1,0,0,1,0.914666667,0,1,0,0,0,2,0,1,0,0,0,0.006034483,-0.261778358,0.0,0.0,0.179487179,0.034482759,2.89082
21,0,1,0,1,1,0,1,0,164,54,1,1,1,0,1,0,0,0.895061235,0,1,0,0,0,0,1,0,0,0,0,0.047008547,-0.159043028,0.0,0.057142857,0.153846154,0.0,3.7141
22,0,1,0,0,1,0,1,0,170,75,1,1,1,1,0,0,0,0.742424242,1,0,0,0,0,5,0,1,0,0,0,0.335,0.35716992,0.0,0.0,0.102564103,0.0,3.28972
23,0,1,0,1,1,0,1,0,172,62,1,1,1,1,0,0,1,0.92,0,0,0,0,0,3,0,1,0,0,0,0.002777778,-0.262245872,0.0,0.142857143,0.153846154,0.103448276,3.65499
24,0,1,0,0,1,0,1,0,185,84,1,1,1,1,0,0,1,0.87901037,0,0,0,0,1,3,0,1,0,0,0,0.04,0.193057127,0.0,0.085714286,0.153846154,0.0,3.40898
25,0,1,0,1,1,0,1,0,165,68,1,1,1,1,0,0,0,0.924,0,1,0,0,0,1,0,1,0,0,0,0.137142857,2.697285218,0.0,0.057142857,0.051282051,0.0,3.19256
26,0,0,1,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.850666667,1,0,0,0,0,5,0,1,0,0,0,0.0375,-0.237818075,0.0,0.057142857,0.282051282,0.0,3.28288
27,0,1,0,0,1,0,1,0,168,58,1,1,1,1,0,0,1,0.902666667,0,0,1,0,0,0,1,0,0,0,0,0.228222997,-0.262245872,0.0,0.0,0.051282051,0.0,3.51694
28,0,0,1,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.914666667,1,0,0,0,0,5,0,1,0,0,0,0.009090909,-0.261231832,0.0,0.0,0.102564103,0.517241379,3.54671
29,0,1,0,0,1,0,1,0,187,90,1,1,1,1,0,0,1,0.894666667,1,0,0,0,0,5,0,1,0,0,0,0.05518018,-0.209859804,0.0,0.028571429,0.128205128,0.344827586,3.1729
30,0,1,0,0,1,0,1,0,177,80,0,1,1,1,0,0,1,0.842666667,1,0,0,0,0,5,0,1,0,0,0,0.025116279,-0.04057357,0.0,0.028571429,0.025641026,0.137931034,3.44123
31,1,0,0,0,1,0,1,0,180,72,1,1,1,0,1,0,1,0.849333333,0,1,0,0,0,3,0,1,0,0,0,0.006944444,-0.261870082,0.0,0.085714286,0.282051282,0.068965517,2.33079
32,0,0,1,0,1,0,1,0,171,58,1,1,1,1,0,0,0,0.92,0,0,0,0,1,1,0,1,0,0,0,0.002849003,-0.261999783,0.0,0.028571429,0.128205128,0.0,3.39938
33,0,0,1,0,1,0,1,0,165,50,1,1,1,1,0,0,1,0.889333333,1,0,0,0,0,3,0,1,0,0,0,0.006,-0.261302395,0.0,0.142857143,0.358974359,0.0,3.62515
34,1,0,0,0,1,0,1,0,172,55,1,1,1,1,0,0,0,0.886666667,1,0,0,0,0,4,0,1,0,0,0,0.008622699,-0.24333041,0.0,0.0,0.051282051,0.034482759,2.15251
35,0,0,1,0,1,0,1,0,172,50,0,1,1,1,0,0,1,0.818666667,0,0,0,0,1,5,0,1,0,0,0,0.019431988,-0.252230977,0.0,0.0,0.051282051,0.103448276,2.88535
36,1,0,0,0,1,0,1,0,177,83,1,1,1,1,0,0,0,0.926666667,1,0,0,0,0,2,0,1,0,0,0,0.001176471,-0.26032056,0.0,0.2,0.230769231,0.0,3.83785
37,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.842666667,1,0,0,0,0,5,0,1,0,0,0,0.065099458,-0.249461226,0.0,0.0,0.025641026,0.068965517,3.40082
38,1,0,0,0,1,0,1,0,182,65,1,1,1,1,0,0,1,0.926666667,0,1,0,0,0,2,0,1,0,0,0,0.000621504,-0.261626989,0.0,0.0,0.205128205,0.0,3.66765
39,0,0,1,1,1,0,1,0,170,55,1,1,1,1,0,0,1,0.949333333,0,1,0,0,0,5,0,1,0,0,0,0.076,1.18e-15,0.0,0.228571429,0.41025641,0.0,3.79195
40,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.925333333,1,0,0,0,0,5,0,1,0,0,0,0.028172043,-0.19505157,0.0,0.0,0.025641026,0.137931034,3.17842
41,1,0,0,1,1,1,0,0,171,65,0,1,1,1,0,0,1,0.892,1,0,0,0,0,3,0,0,0,1,0,0.001157407,-0.262244985,0.0,0.028571429,0.153846154,0.0,3.67542
42,0,1,0,0,1,0,1,0,172,65,1,1,1,0,1,0,0,0.585416667,0,0,0,1,0,1,0,1,0,0,0,0.001666667,-0.262053262,0.0,0.085714286,0.153846154,0.0,3.3861
43,0,0,1,1,1,0,1,0,169,60,1,1,1,1,0,0,1,0.893333333,0,0,0,0,1,1,0,1,0,0,0,0.013904983,-0.244719917,0.0,0.171428571,0.256410256,0.103448276,3.34306
44,0,0,1,0,1,0,1,0,175,68,1,1,1,1,0,0,0,0.942666667,0,1,0,0,0,4,0,1,0,0,0,0.001845018,-0.262233057,0.0,0.0,0.230769231,0.310344828,3.84161
45,0,0,1,0,1,0,1,0,183,75,1,1,1,1,0,0,0,0.932,0,0,0,0,0,3,0,1,0,0,0,0.001440922,-0.262159501,0.0,0.085714286,0.205128205,0.206896552,3.81166
46,1,0,0,0,1,0,1,0,176,65,1,1,1,0,1,0,1,0.856,0,0,0,1,0,0,1,0,0,0,0,0.012820513,-0.200444543,0.0,0.028571429,0.051282051,0.103448276,3.28927
47,0,0,1,0,1,0,1,0,189,67,0,0,1,1,0,0,1,0.906666667,1,0,0,0,0,1,0,1,0,0,0,0.009090909,-0.252775908,0.0,0.0,0.205128205,0.068965517,2.71978
48,0,0,1,1,1,0,1,0,163,55,0,1,1,0,1,0,0,0.878666667,0,0,0,1,0,0,1,0,0,0,0,0.000786782,-0.262173954,0.0,0.085714286,0.179487179,0.0,3.47349
49,0,1,0,0,0,1,0,0,177,63,1,1,1,0,1,0,1,0.890666667,0,0,0,1,0,1,0,1,0,0,0,0.209677419,0.268929341,0.0,0.028571429,0.0,0.0,3.62279
50,1,0,0,0,1,0,1,0,175,55,0,1,1,1,0,0,1,0.873333333,0,0,0,1,0,2,0,0,0,1,0,0.002105263,-0.262087752,0.0,0.0,0.051282051,0.0,2.60647
51,0,1,0,0,0,0,1,0,173,70,1,1,1,1,0,0,1,0.801515152,1,0,0,0,0,5,0,1,0,0,0,0.04172851,1.18e-15,0.0,0.142857143,0.205128205,0.137931034,3.59333
52,0,1,0,1,1,0,1,0,168,50,1,1,1,0,1,0,0,0.897333333,0,0,1,0,0,0,1,0,0,0,0,0.04172851,1.18e-15,0.0,0.028571429,0.307692308,0.0,3.22773
53,1,0,0,1,0,0,1,0,169,56,1,1,1,1,0,0,0,0.892,0,0,0,0,1,0,1,0,0,0,0,0.014285714,-0.143754622,0.0,0.171428571,0.153846154,0.0,3.11006
